Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,plx,e_plx,pmRA*,pmDE,logt,e_logt,N,Ref
Berkeley_58      ,0.056,60.937,116.751,-1.318,0.312,0.024,-3.361,-1.705,8.47,0.047,115,MWSC
NGC_7801         ,0.083,50.709,114.72,-11.346,0.47,0.026,-3.642,-2.439,9.255,      ,33,MWSC
FSR_0459         ,0.187,59.247,116.482,-2.989,0.335,0.047,-2.953,-1.159,7.8,      ,28,MWSC
Stock_18         ,0.393,64.621,117.619,2.264,0.388,0.017,-2.582,-0.938,8.68,      ,18,MWSC
Berkeley_59      ,0.584,67.449,118.237,5.026,0.96,0.035,-1.591,-1.841,6.1,      ,44,MWSC
Blanco_1         ,0.939,-30,14.771,-79.132,4.218,0.069,18.632,2.588,7.75,      ,197,MWSC
Berkeley_104     ,0.883,63.572,117.632,1.195,0.232,0.018,-2.197,-0.514,8.805,0.031,99,MWSC
IRAS_00013+6817  ,0.925,68.56,118.572,6.093,0.717,0.021,-1.834,-0.93,7.15,      ,20,MWSC
FSR_0504         ,1.436,81.852,121.229,19.131,0.564,0.027,-0.506,0.439,9.45,      ,12,MWSC
Czernik_1        ,1.892,61.485,117.72,-0.942,0.333,0.022,-2.839,-1.443,7.76,      ,28,MWSC
SAI_1            ,2.134,51.731,116.198,-10.579,0.468,0.022,-2.554,-2.521,9.27,      ,13,MWSC
ASCC_1           ,2.446,62.708,118.178,0.222,0.179,0.011,-2.144,-0.482,8.406,      ,50,MWSC
Berkeley_1       ,2.397,60.472,117.794,-1.981,0.346,0.02,-2.194,-0.61,8.6,      ,38,MWSC
King_13          ,2.558,61.172,117.984,-1.304,0.266,0.018,-2.694,-0.858,8.595,      ,112,MWSC
Alessi_20        ,2.688,58.748,117.664,-3.707,0.263,0.171,-1.43,-0.901,7.575,0.188,67,MWSC
FSR_0474         ,2.692,59.728,117.821,-2.74,0.273,0.099,-1.561,-0.875,8.9,      ,41,MWSC
FSR_0480         ,3.727,61.486,118.586,-1.077,0.171,0.114,-2.646,-0.439,9.3,      ,83,MWSC
PTB_7            ,3.856,68.318,119.601,5.679,0.497,0.038,-1.493,-0.69,6.55,      ,42,MWSC
Juchert-Saloran_1,4.074,59.959,118.542,-2.613,0.186,0.096,-1.621,-1.276,9.3,      ,43,MWSC
Berkeley_60      ,4.439,60.931,118.85,-1.673,0.281,0.023,-0.778,-0.713,8.4,      ,64,MWSC
ASCC_2           ,4.905,55.635,118.418,-6.958,0.473,0.033,-2.245,-2.236,8.87,0.08,10,MWSC
FSR_0486         ,5.121,59.341,118.988,-3.293,0.531,0.035,-2.13,-0.471,8.9,      ,31,MWSC
FSR_0479         ,5.292,54.839,118.542,-7.774,0.527,0.028,-2.037,-1.388,8.8,      ,47,MWSC
Mayer_1          ,5.516,61.74,119.462,-0.933,0.386,0.019,-3.304,-1.449,7.74,      ,42,MWSC
King_1           ,5.506,64.384,119.758,1.693,0.555,0.035,-4.942,-1.305,9.7,      ,219,MWSC
FSR_0477         ,5.742,51.898,118.469,-10.727,0.604,0.033,-1.262,-1.801,9.04,      ,67,MWSC
SAI_4            ,5.906,62.714,119.75,0.014,0.316,0.016,-2.684,-0.782,8.8,0.069,29,MWSC
Stock_20         ,6.329,62.599,119.932,-0.121,0.374,0.022,-2.523,-0.932,8.337,      ,60,MWSC
NGC_103          ,6.296,61.33,119.787,-1.381,0.281,0.019,-2.815,-1.07,8.565,0.057,76,MWSC
Berkeley_2       ,6.295,60.387,119.691,-2.319,0.14,0.071,-1.19,-0.485,8.98,0.033,68,MWSC
FSR_0494         ,6.413,63.759,120.086,1.03,0.242,0.021,-2.468,-0.902,9.3,      ,56,MWSC
FSR_0496         ,6.633,64.021,120.208,1.281,0.656,0.032,2.202,-0.679,9.055,0.049,89,MWSC
NGC_110          ,6.967,71.453,121.039,8.668,0.274,0.013,-1.808,0.178,8.97,      ,17,MWSC
SAI_6            ,7.023,60.69,120.077,-2.052,0.301,0.019,-1.7,-0.605,8.7,0.061,92,MWSC
FSR_0481         ,7.227,43.285,118.588,-19.396,0.587,0.039,-1.447,-1.453,9.1,      ,28,MWSC
FSR_0498         ,7.334,62.388,120.374,-0.374,0.36,0.019,-3.287,-0.76,8.55,      ,51,Cantat-Gaudin et al. 2018
FSR_0503         ,7.392,68.914,120.956,6.126,0.255,0.012,-1.591,-0.027,9.18,      ,49,MWSC
Stock_21         ,7.571,57.944,120.118,-4.812,0.468,0.029,-2.105,-1.903,8.825,      ,30,MWSC
NGC_129          ,7.583,60.196,120.309,-2.568,0.531,0.024,-2.597,-1.187,7.975,      ,89,MWSC
NGC_133          ,7.804,63.328,120.665,0.546,0.344,0.02,-2.192,-0.351,7.3,      ,19,MWSC
NGC_136          ,7.924,61.516,120.58,-1.266,0.195,0.015,-1.6,-0.527,8.4,      ,32,MWSC
King_14          ,8.003,63.174,120.743,0.385,0.403,0.025,-3.263,-1.088,7.7,      ,49,MWSC
