"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1194",261.0496,0.252,0.462,0.218,15,1.203,0.044,-8.09,0.471,5.773,0.114,7.8,0.85,130.3009,-41.2171
"CWNU_1195",257.1199,0.578,-43.2038,0.72,19,3.001,0.047,2.679,1.07,13.346,0.523,8.1,0.45,67.0132,-49.8484
"CWNU_1196",294.9869,0.246,-9.3035,0.35,15,3.449,0.024,-21.725,0.573,-0.648,0.46,7.6,0.6,168.537,-70.6594
"CWNU_1197",137.1862,0.228,0.4339,0.474,15,2.679,0.087,13.427,0.799,-15.737,0.873,8.85,0.65,42.3593,59.9989
"CWNU_1198",300.0315,0.343,-7.9321,0.097,18,2.279,0.071,-13.072,0.27,-1.888,0.301,7.6,0.75,184.1781,-70.608
"CWNU_1199",84.8492,0.456,0.5906,0.855,20,3.105,0.05,7.572,0.421,2.051,1.059,7.8,0.6,312.4138,44.845
"CWNU_1200",90.0496,0.374,-9.9491,0.222,15,3.17,0.061,6.918,0.127,-5.353,0.11,7.85,0.15,327.6544,41.1003
"CWNU_1201",75.1994,0.528,15.2873,0.377,20,3.073,0.059,1.76,1.404,-0.515,0.692,7.7,0.25,287.7586,44.2382
"CWNU_1202",152.6788,0.193,-15.2741,0.299,15,2.018,0.093,0.564,1.171,-5.402,1.27,8.05,0.25,50.6907,38.7037
"CWNU_1203",224.4887,0.087,-3.693,0.106,29,0.898,0.048,-3.38,0.145,0.493,0.306,6.9,0.05,104.8417,-11.9641
"CWNU_1204",237.5226,0.084,-7.5002,0.073,17,1.598,0.04,-4.917,0.323,3.534,0.208,7.25,0.25,107.423,-25.2586
"CWNU_1205",107.567,0.71,14.0411,0.132,17,4.296,0.094,10.708,0.636,5.983,0.259,7.8,3.75,322.1901,70.5904
"CWNU_1206",230.3672,0.949,-20.9604,0.77,18,4.559,0.07,-7.814,0.482,8.539,0.537,7.65,0.6,90.7726,-24.3391
"CWNU_1207",92.312,0.264,3.133,0.68,20,3.289,0.085,8.409,0.873,4.904,1.021,7.85,0.35,316.8699,52.1546
"CWNU_1208",202.3499,0.146,1.2286,0.089,15,0.842,0.006,-1.573,0.086,-0.894,0.078,7.15,1.25,99.0966,9.9727
"CWNU_1209",49.265,0.977,41.227,0.628,15,3.352,0.046,-4.751,3.683,-3.141,1.962,8.5,0.7,248.6815,29.2586
"CWNU_1210",276.9305,0.363,7.8808,0.262,15,2.337,0.067,-16.633,2.007,7.158,0.917,7.9,0.1,153.4233,-46.8722
"CWNU_1211",100.3863,0.305,24.5406,0.191,18,5.187,0.059,4.424,0.31,11.275,0.274,7.5,0.15,285.0674,69.5712
"CWNU_1212",141.3268,0.088,2.139,0.136,17,0.912,0.02,-2.04,0.115,-0.955,0.216,7.05,2.05,51.1685,59.4228
"CWNU_1213",340.1285,0.073,-7.9005,0.067,18,0.876,0.027,-2.291,0.213,-5.06,0.303,8.6,1.2,261.2301,-49.8965
"CWNU_1214",220.7093,0.412,-15.9889,0.649,16,3.227,0.099,-5.289,0.311,5.05,0.235,7.55,0.1,91.8196,-13.968
"CWNU_1215",120.7697,0.046,2.7152,0.056,34,1.399,0.047,2.271,0.168,-2.764,0.118,6.25,0.15,7.6455,65.4994
"CWNU_1216",88.5091,0.33,-0.2677,0.212,20,3.46,0.06,8.4,0.968,0.582,4.338,7.55,0.75,316.7896,47.0545
"CWNU_1217",116.8235,0.568,1.8859,0.498,40,2.477,0.15,6.199,0.977,-1.093,0.8,8.95,1.05,358.774,64.0874
"CWNU_1218",219.2254,0.079,-9.7754,0.238,22,1.037,0.029,-3.375,0.161,0.995,0.164,7.15,4.7,96.9235,-9.9952
"CWNU_1219",335.1191,0.076,-1.4312,0.059,36,0.808,0.016,-0.787,0.21,-2.806,0.214,8.35,3.55,248.5379,-49.8503
"CWNU_1220",149.7209,0.367,-1.1411,0.19,99,0.973,0.071,0.095,0.719,-1.925,0.651,8.65,1.85,59.5563,51.7419
"CWNU_1221",102.809,0.66,-1.0467,0.549,36,2.639,0.155,6.249,0.808,-1.927,0.615,7.55,1.15,335.1146,55.8113
"CWNU_1222",7.2926,0.016,-2.0438,0.018,56,0.822,0.045,1.882,0.195,-1.467,0.264,6.3,2.55,272.4544,-23.6481
