Cluster,GLON,s_GLON,GLAT,s_GLAT,Plx,s_Plx,pmRA,s_pmRA,pmDE,s_pmDE,RV,s_RV,o_RV,m-M,AG,logAge,Z,N70,minProb,NminProb,Class,_RA.icrs,_DE.icrs
CWNU_134,55.913,0.11,-2.687,0.07,0.81,0.04,-0.88,0.14,-4.39,0.14,  ---, ---,0,10.1,0.65,8.5,0.02,34,0.7,34,1,296.2872,19.009
CWNU_135,266.185,0.18,-13.996,0.44,1.32,0.08,-4.93,0.34,7.68,0.33,17.5,1.8,1,9.9,0.7,7.9,0.038,28,0.62,31,1,116.351,-53.3451
CWNU_136,93.423,0.34,8.571,0.19,1.1,0.03,-2.38,0.13,-5.04,0.2,  ---, ---,0,9.7,1.9,7.5,0.024,42,0.7,42,1,310.9318,56.4958
CWNU_137,104.071,0.45,-12.633,0.51,1.02,0.08,1.07,0.41,-3.01,0.77,-11.6,15.6,4,9.8,1.1,7.8,0.008,107,0.76,107,1,345.7317,46.227
CWNU_138,234.875,0.21,17.718,0.27,0.85,0.07,-4.05,0.95,0.96,0.71,32.4,4.3,3,11.25,0.95,8.5,0.01,47,1,47,1,128.9759,-10.255
CWNU_139,72.059,0.32,-1.385,0.11,0.71,0.08,-1.2,0.15,-2.84,0.15,19.7,0.2,1,10.4,2,8.8,0.028,35,0.76,35,1,304.5949,33.3969
CWNU_140,240.293,0.05,1.131,0.04,0.4,0.03,-3.17,0.12,3.06,0.14,76.4,1.1,1,11.85,1.15,8.7,0.034,46,0.72,46,1,117.2054,-23.5754
CWNU_141,332.658,0.09,-3.232,0.05,0.57,0.04,-2.89,0.09,-3.44,0.05,-37.9,0.2,1,10.75,1,8.2,0.01,64,0.71,64,1,247.9743,-52.8777
CWNU_142,330.326,0.08,1.336,0.03,0.38,0.02,-1.16,0.14,-2.12,0.09,  ---, ---,0,12.35,3.1,8.5,0.04,32,0.72,32,1,240.0902,-51.2003
CWNU_143,217.342,0.26,-9.319,0.17,0.63,0.03,-0.06,0.1,-1.05,0.1,26.5,12,2,11.25,1.3,8.7,0.038,42,1,42,1,96.508,-8.1271
CWNU_144,98.273,0.24,-4.11,0.13,0.75,0.04,1.87,0.14,-0.44,0.1,  ---, ---,0,10.85,0.65,7.9,0.022,36,0.73,36,1,331.7648,50.7205
CWNU_145,334.416,0.53,-5.911,0.18,1.06,0.03,-1.52,0.14,-2.26,0.09,14.6,11,1,10.4,0.7,8.1,0.034,29,0.46,30,1,253.2573,-53.3112
CWNU_146,179.277,0.1,1.593,0.07,0.29,0.04,0.08,0.08,-1.39,0.11,  ---, ---,0,11.95,1.25,7.2,0.002,88,0.7,88,1,87.5445,30.3783
CWNU_147,300.602,0.22,4.7,0.08,1.23,0.03,-10.93,0.09,0.8,0.11,  ---, ---,0,9.55,0.65,7.6,0.006,39,0.74,39,1,188.4631,-58.0922
CWNU_148,115.146,0.22,-4.223,0.17,0.6,0.04,-3.52,0.07,-1.73,0.11,  ---, ---,0,11.25,1.15,8.5,0.04,37,0.74,37,1,358.1896,57.759
CWNU_149,143.473,0.35,4.643,0.22,1.57,0.06,-2.99,0.23,-0.49,0.17,-14.9,5.2,2,9.15,0.85,7.5,0.022,24,0.5,36,1,57.5481,60.1785
CWNU_150,255.611,0.18,-5.507,0.07,0.55,0.04,-4.12,0.06,4.79,0.07,  ---, ---,0,11.45,1.5,7.4,0.026,56,0.7,56,1,119.7554,-40.1125
CWNU_151,356.133,0.09,-2.39,0.04,0.57,0.04,1.68,0.1,-1.2,0.08,  ---, ---,0,10.75,1.5,8.2,0.018,28,0.61,36,1,266.4384,-33.4811
CWNU_152,72.09,0.09,-2.64,0.1,0.94,0.05,-1.63,0.22,-5.57,0.2,-42.1,9.2,1,9.7,0.25,7.3,0.022,27,0.64,31,1,305.849,32.7105
CWNU_153,62.269,0.11,-5.155,0.05,0.61,0.06,-0.41,0.1,-5.14,0.18,  ---, ---,0,11,1.25,8.6,0.038,41,0.79,41,1,302.0666,23.1608
CWNU_154,168.472,0.25,-0.775,0.3,0.87,0.09,-0.34,0.32,-2.27,0.36,  ---, ---,0,10.55,1.05,7.6,0.016,88,1,88,1,77.9524,38.107
CWNU_155,9.99,0.04,-1.62,0.04,0.78,0.04,0.81,0.14,-0.95,0.13,  ---, ---,0,11,0.95,7,0.032,44,0.7,44,1,273.4524,-21.0798
CWNU_156,204.59,0.16,1.702,0.27,0.67,0.06,-1.82,0.22,0.27,0.24,  ---, ---,0,11.15,1.5,7.5,0.016,20,0.6,45,1,100.5612,8.1987
CWNU_157,236.184,0.3,17.311,0.18,0.93,0.05,-4.19,0.73,-0.94,1,27.6,0.4,1,10,0.2,9.3,0.012,24,1,24,1,129.3252,-11.5224
CWNU_158,206.935,0.09,-0.207,0.08,0.64,0.04,-1.4,0.09,2.9,0.09,41.7,0.3,1,11.4,1.1,8.7,0.032,24,0.4,35,1,99.9323,5.2403
CWNU_159,204.19,0.03,-2.013,0.07,0.39,0.03,-0.53,0.06,-1.15,0.04,41.3,0.9,1,11.7,0.9,8.9,0.016,24,0.6,32,1,97.0487,6.8438
CWNU_160,246.959,0.21,17.418,0.14,0.41,0.03,-4.51,1.1,3.39,1.02,  ---, ---,0,12.6,0.8,9.3,0.008,0,0.5,43,1,135.6725,-19.7973
CWNU_161,105.292,0.14,-3.762,0.17,0.87,0.04,2.04,0.1,0.23,0.15,  ---, ---,0,10.7,0.9,8.3,0.038,34,1,34,1,341.2848,54.7255
CWNU_162,100.892,0.21,3.186,0.11,0.79,0.05,-2.3,0.15,-3.7,0.17,  ---, ---,0,10.6,1.75,7.7,0.024,37,0.72,37,1,327.6964,58.105
CWNU_163,266.179,0.09,-0.854,0.06,0.48,0.03,-5.68,0.07,4.39,0.09,  ---, ---,0,11.1,2.75,7.1,0.016,25,0.4,35,1,133.3321,-46.0377
CWNU_164,266.461,0.23,2.16,0.11,0.93,0.02,-9.51,0.17,7.71,0.17,  ---, ---,0,9.7,1,7.8,0.008,35,0.92,35,1,136.814,-44.2665
CWNU_165,40.079,0.21,-4.427,0.1,0.7,0.04,0.1,0.1,-0.77,0.1,  ---, ---,0,11.55,1.05,6.4,0.002,17,0.51,36,1,290.0758,4.3128
CWNU_166,45.22,0.42,3.4,0.26,1.07,0.06,-0.59,0.26,-5.85,0.11,  ---, ---,0,9.75,1.15,7.9,0.03,16,0.5,33,1,285.4479,12.4814
CWNU_167,76.839,0.05,-1.118,0.04,0.55,0.06,-0.31,0.13,-3.4,0.14,-18.5,0.3,1,11.15,4.35,7.8,0.03,78,0.77,78,1,307.7045,37.4583
CWNU_168,184.289,0.18,-8.686,0.38,1.2,0.07,-0.21,0.31,-4.67,0.35,  ---, ---,0,9.65,0.95,8.2,0.038,19,0.4,50,1,80.8619,20.6623
CWNU_169,244.685,0.12,-3.393,0.07,0.48,0.03,-0.97,0.06,0.65,0.08,22,0.5,3,11.35,0.6,9,0.012,30,0.72,30,1,115.2752,-29.6388
CWNU_170,355.1,0.04,3.824,0.08,0.9,0.07,1.96,0.22,-0.93,0.13,  ---, ---,0,9.65,0.95,7.1,0.022,18,0.51,31,1,259.6197,-30.9471
CWNU_171,256.407,0.59,-11.501,0.51,3.23,0.17,-10.25,0.96,6.24,0.31,11.6,2.1,5,7.2,0.1,7.7,0.024,49,1,49,1,113.2184,-43.7068
CWNU_172,217.375,0.24,4.83,0.22,0.98,0.02,-2.47,0.16,0.14,0.19,  ---, ---,0,10.2,0.3,7.8,0.036,21,0.4,36,1,109.1855,-1.7368
CWNU_173,171.492,0.26,5.837,0.18,1.12,0.07,0.18,0.16,-1.41,0.15,  ---, ---,0,9.35,0.95,7.7,0.004,23,1,23,1,87.1534,39.2232
CWNU_174,114.192,0.26,-7.765,0.12,0.9,0.04,-5.19,0.05,-2.5,0.11,  ---, ---,0,10.35,0.4,8.3,0.038,31,1,31,1,357.9839,54.0939
CWNU_175,300.92,0.28,-0.729,0.09,0.7,0.03,-3.89,0.07,-1.19,0.11,7.5,4.6,1,10.2,1.35,8.1,0.04,49,1,49,1,188.3423,-63.5301
CWNU_176,181.701,0.12,-1.172,0.15,0.54,0.06,0.68,0.12,-3.4,0.2,  ---, ---,0,11.05,2.05,7.8,0.008,90,0.7,90,1,86.2768,26.8737
CWNU_177,119.08,0.22,-9.944,0.16,0.57,0.03,-2,0.1,-1.27,0.07,  ---, ---,0,11,0.65,7.7,0.008,65,0.7,65,1,6.585,52.7399
CWNU_178,172.722,0.15,5.175,0.14,0.35,0.04,-0.06,0.27,-1.4,0.19,29,20.5,4,11.7,1.3,9.2,0.006,62,1,62,1,87.2212,37.8324
CWNU_179,10.314,0.08,1.362,0.08,0.64,0.09,0.08,0.19,-1.11,0.17,  ---, ---,0,10.6,2.1,7.6,0.016,135,0.7,135,1,270.8407,-19.3501
CWNU_180,77.238,0.25,-1.019,0.27,0.96,0.06,-1.6,0.31,-3.98,0.27,  ---, ---,0,10.2,0.2,6.3,0.002,101,0.84,101,1,307.901,37.8388
CWNU_181,41.176,0.29,-3.057,0.14,0.84,0.05,-0.55,0.13,-4.64,0.15,  ---, ---,0,10.2,1.45,8,0.014,34,1,34,1,289.3684,5.9187
CWNU_182,266.209,0.67,1.92,0.13,1.06,0.05,-8.94,0.41,5.74,0.11,25.5,3.9,3,9.6,0.95,8.9,0.02,80,0.7,80,1,136.3295,-44.2412
CWNU_183,9.806,0.14,-1.345,0.12,0.59,0.04,0.21,0.14,-1.47,0.25,-4.4,0.8,1,11.85,3.05,6.9,0.018,30,0.7,30,1,273.0992,-21.1096
CWNU_184,275.735,0.19,2.309,0.14,0.64,0.03,-7.14,0.1,5,0.09,43.7,0.7,1,11.5,1.3,8.5,0.04,101,0.71,101,1,146.8652,-50.586
CWNU_185,266.733,0.09,0.139,0.08,0.47,0.05,-4.87,0.14,4.79,0.1,  ---, ---,0,12.35,3.4,6.8,0.038,101,0.7,101,1,134.935,-45.8145
CWNU_186,166.079,0.08,0.046,0.1,0.75,0.05,-0.01,0.08,-2.49,0.1,  ---, ---,0,10.35,0.75,7.4,0.006,57,0.72,57,1,76.9662,40.5191
CWNU_187,101.906,0.65,-8.405,0.17,1.19,0.05,-1.8,0.14,-5.59,0.23,-13.7,6.6,1,9.8,0.3,7.9,0.03,25,0.51,37,1,340.0778,49.0392
CWNU_188,267.785,0.18,-0.043,0.16,0.87,0.04,-6.1,0.09,4.01,0.06,  ---, ---,0,10.3,2.5,7.7,0.018,69,0.7,69,1,135.7426,-46.7245
CWNU_189,215.215,0.22,-9.869,0.07,0.55,0.04,-1.4,0.21,2.01,0.16,  ---, ---,0,10.85,0.95,8.7,0.004,26,0.6,36,1,95.0712,-6.4931
CWNU_190,226.812,0.13,-4.499,0.13,0.63,0.06,-1.39,0.13,1.65,0.11,28.1,2.5,1,10.95,1,9,0.012,66,0.71,66,1,105.1811,-14.3953
CWNU_191,11.038,0.24,-1.719,0.09,0.52,0.06,1.16,0.15,-0.36,0.09,  ---, ---,0,11.45,2.3,7.3,0.024,124,0.7,124,1,274.0788,-20.206
CWNU_192,214.518,0.06,4.237,0.04,0.3,0.04,-1.02,0.06,-0.67,0.04,  ---, ---,0,12.85,0.6,8.5,0.04,37,0.76,37,1,107.3529,0.5227
CWNU_193,248.973,0.08,-0.827,0.06,0.45,0.04,-1.81,0.07,1.3,0.03,36,0.4,1,10.95,0.85,8.9,0.006,29,1,29,1,120.391,-32.0166
CWNU_194,179.183,0.06,-0.449,0.05,0.48,0.07,0.51,0.11,-3.52,0.08,-11.1,0.7,1,11.1,2,9,0.014,74,0.75,74,1,85.4765,29.3964
CWNU_195,178.285,0.15,-2.447,0.07,0.48,0.05,0.52,0.16,-2.5,0.14,  ---, ---,0,11.3,1.7,7.5,0.01,34,0.7,34,1,82.9924,29.0809
CWNU_196,119.977,0.05,-5.3,0.04,0.46,0.03,-0.31,0.07,-1.17,0.08,  ---, ---,0,11.8,1.1,8.4,0.032,45,0.71,45,1,7.3856,57.4461
CWNU_197,179.077,0.06,2.794,0.05,0.56,0.06,0.73,0.09,-3.37,0.07,  ---, ---,0,11.7,0.95,7.5,0.03,27,0.4,43,1,88.63,31.1609
CWNU_198,255.57,0.09,-3.129,0.1,0.72,0.03,-4.53,0.07,3.68,0.08,  ---, ---,0,10.4,1.9,7.4,0.02,33,0.7,33,1,122.3394,-38.8172
CWNU_199,117.612,0.41,-14.322,0.39,1.3,0.07,0.41,1.13,-3.59,0.9,-7.3,0,2,10.25,0.05,6.5,0.002,43,1,43,1,5.1091,48.2293
CWNU_200,178.017,0.1,11.193,0.09,0.83,0.05,-0.37,0.14,-3.64,0.1,-17.2,0.4,1,10.3,0.3,8.8,0.02,28,0.04,48,1,96.9499,36.0306
CWNU_201,218.813,0.12,-11.254,0.08,1.02,0.05,-3.59,0.21,-0.87,0.2,39.9,0.7,1,9.6,1.45,9.3,0.004,26,0.44,31,1,95.3927,-10.2782
CWNU_202,72.545,0.26,-0.001,0.11,0.62,0.03,-0.83,0.07,-3.64,0.06,  ---, ---,0,10.6,1.4,7.8,0.008,42,0.71,42,1,303.5369,34.5725
CWNU_203,121.852,0.09,4.036,0.03,0.37,0.06,-3.08,0.14,0.24,0.13,  ---, ---,0,12.6,3.25,6.7,0.03,57,0.7,57,1,10.1146,66.8847
CWNU_204,246.906,0.19,1.156,0.09,0.55,0.04,-3.69,0.07,2.9,0.1,  ---, ---,0,10.65,0.3,7.6,0.016,43,0.7,43,1,121.0666,-29.2119
CWNU_205,206.193,0.21,-6.897,0.15,0.69,0.04,0.48,0.07,-2.31,0.08,  ---, ---,0,11.2,1.05,8.7,0.038,70,0.7,70,1,93.6418,2.8042
CWNU_206,47.722,0.04,0.124,0.04,0.45,0.04,-1.74,0.08,-3.63,0.1,  ---, ---,0,12.75,3.55,6.8,0.04,32,0.71,32,1,289.6118,13.19
CWNU_207,267.835,0.43,-0.184,0.16,1.2,0.04,-7.49,0.27,5.15,0.17,  ---, ---,0,9,1.15,7,0.006,41,0.75,41,1,135.6371,-46.8555
CWNU_208,267.922,0.14,1.817,0.05,1.32,0.04,-8.54,0.28,3.98,0.31,  ---, ---,0,9.35,1.8,6.7,0.038,26,0.55,31,1,137.8586,-45.5713
CWNU_209,104.242,0.2,-1.51,0.05,0.72,0.04,-2.2,0.09,-1.71,0.08,  ---, ---,0,10.35,1.3,7.7,0.008,26,0.63,32,1,337.7269,56.1756
CWNU_210,166.594,0.09,-2.296,0.07,0.57,0.05,0.02,0.09,-3.6,0.13,-20.3,0.7,1,10.6,1.05,8.8,0.008,32,0.71,32,1,74.9593,38.6862
CWNU_211,91.068,0.5,-11.259,0.3,1.54,0.06,-1.76,0.53,-4.37,0.54,-8.8,12.3,4,8.95,0.25,7.7,0.03,41,0.96,41,1,329.7754,40.7149
CWNU_212,246.365,0.18,1.058,0.13,0.67,0.04,-2.88,0.08,3.14,0.08,  ---, ---,0,10.7,0.4,7.6,0.012,50,0.7,50,1,120.6425,-28.8061
CWNU_213,96.972,0.13,5.202,0.09,0.7,0.03,3.53,0.08,0.19,0.08,-26.8,0.5,6,10.2,1.95,9.2,0.018,46,0.88,46,1,319.7831,56.9543
CWNU_214,100.868,0.29,6.69,0.12,0.84,0.08,-3.07,0.67,-3.58,0.5,  ---, ---,0,11.25,0.8,6.4,0.002,71,0.76,71,1,323.1268,60.7288
CWNU_215,337.681,0.1,2.128,0.06,0.83,0.03,0.88,0.05,-3.41,0.07,  ---, ---,0,10.05,1.45,8.1,0.008,31,0.7,31,1,247.2818,-45.5472
CWNU_216,195.19,0.2,-17.088,0.18,2.54,0.12,2.23,0.27,-3.71,0.22,15.2,1.4,3,7.6,1.15,6.5,0.004,46,1,46,1,79.4399,7.195
CWNU_217,335.792,0.18,-1.603,0.19,0.83,0.03,0.27,0.25,-4.71,0.21,  ---, ---,0,10,1.65,7.2,0.014,21,1,21,1,249.4339,-49.4687
CWNU_218,329.456,0.17,-3.882,0.13,0.68,0.07,-0.04,0.14,-1.46,0.1,-8.3,0.3,1,11.2,1,8.1,0.034,93,0.7,93,1,244.9635,-55.6248
CWNU_219,115.32,0.09,0.792,0.06,0.37,0.03,-3.83,0.17,-1.92,0.05,  ---, ---,0,12.2,0.2,6.4,0.04,57,0.7,57,1,356.0929,62.6684
CWNU_220,333.426,0.05,0.152,0.03,0.4,0.04,-3.11,0.12,-2.44,0.12,-24.9,0.6,1,11.95,2.55,8.8,0.012,71,0.72,71,1,244.9429,-49.967
CWNU_221,209.2,0.61,-15.018,0.69,1.81,0.09,1.25,1.56,-2.28,1.67,31.7,13.9,4,8.85,0.9,9.3,0.036,53,1,53,1,87.8022,-3.5665
CWNU_222,219.705,0.13,-4.428,0.06,0.62,0.05,-1.93,0.11,-0.84,0.12,  ---, ---,0,10.6,1,8.7,0.004,37,0.7,37,1,101.9859,-8.0394
CWNU_223,253.154,0.3,2.693,0.1,0.74,0.04,-4.88,0.08,4.44,0.06,  ---, ---,0,10.35,0.45,7.5,0.012,30,0.7,30,1,126.6312,-33.5492
CWNU_224,352.393,0.13,-5.836,0.11,0.87,0.04,3.5,0.12,-2.35,0.1,  ---, ---,0,10.25,0.8,7.5,0.02,78,0.75,78,1,267.7347,-38.4497
CWNU_225,109.685,0.34,-5.204,0.14,1.15,0.04,0.46,0.19,-1.75,0.15,  ---, ---,0,9.9,0.65,7.7,0.026,49,0.7,49,1,349.2759,55.2229
CWNU_226,221.16,0.22,5.18,0.09,0.63,0.02,-3.85,0.1,0.48,0.11,42.7,0.8,1,10.5,0.6,9.1,0.004,31,0.84,31,1,111.2477,-4.9152
CWNU_227,94.298,0.07,-1.19,0.08,0.54,0.04,-3.83,0.09,-3.34,0.08,-14.4,0.5,1,11.1,1.2,8.3,0.008,80,0.7,80,1,324.0043,50.4891
CWNU_228,252.073,0.13,2.866,0.07,0.57,0.04,-4.29,0.06,3.27,0.08,  ---, ---,0,11.35,0.2,8.4,0.04,62,0.72,62,1,126.0574,-32.5671
CWNU_229,346.852,0.12,-5.617,0.13,0.92,0.05,-0.81,0.11,-1.74,0.07,  ---, ---,0,10.45,0.6,7.7,0.036,52,0.81,52,1,263.7065,-43.0486
CWNU_230,15.195,0.1,4.904,0.17,1,0.04,1.47,0.19,-0.77,0.17,  ---, ---,0,10.35,1.65,7.9,0.034,26,0.5,35,1,270.1235,-13.3653
CWNU_231,303.385,0.05,1.811,0.04,0.34,0.01,-5.24,0.09,-0.35,0.11,10.7,6.4,1,13.15,1.7,8.9,0.024,16,0.43,36,1,193.7953,-61.0575
CWNU_232,210.372,0.58,-10.662,0.46,2.03,0.07,-0.06,0.48,-2.55,0.5,38.3,4.4,4,8.55,0.55,7.6,0.008,26,0.25,46,1,92.2062,-2.5964
CWNU_233,258.198,0.1,-6.434,0.08,0.49,0.03,-4.04,0.08,4.07,0.07,  ---, ---,0,12.1,0.9,8.5,0.028,33,0.84,33,1,120.4814,-42.7927
CWNU_234,138.2,0.39,-3.658,0.34,1.41,0.05,0.4,0.15,-3.85,0.22,-49.6,2.8,3,9.35,1.15,8.9,0.02,45,0.96,45,1,40.7865,55.8667
CWNU_235,46.371,0.06,3.211,0.04,0.53,0.04,-0.27,0.06,-4.55,0.07,-5.5,0.5,2,10.7,1.95,8.7,0.038,45,0.71,45,1,286.1575,13.4184
CWNU_236,32.66,0.36,3.196,0.39,1.6,0.08,-0.88,0.4,-5.62,0.41,-0.6,5.5,2,9.1,3.3,8.5,0.04,61,0.88,61,1,279.8908,1.215
CWNU_237,96.657,0.49,-11.687,0.3,1.63,0.15,-0.83,0.51,-4.53,0.56,-1,6.2,1,9.1,0.45,7.7,0.028,10,0.4,42,1,336.1164,43.5608
CWNU_238,211.757,0.3,-4.176,0.15,1.26,0.04,-4.16,0.18,-0.63,0.28,  ---, ---,0,9.9,0.5,8.1,0.034,37,0.72,37,1,98.6075,-0.8597
CWNU_239,208.647,0.06,-2.96,0.07,0.62,0.05,-2.34,0.09,-0.54,0.11,  ---, ---,0,10.8,2.35,7.4,0.024,93,0.72,93,1,98.2677,2.4565
CWNU_240,212.055,0.16,0.086,0.18,0.8,0.04,-1.16,0.18,-1.05,0.17,  ---, ---,0,10.25,0.9,8,0.006,31,0.72,31,1,102.5361,0.8197
CWNU_241,106.593,0.07,-1.924,0.03,0.35,0.02,-3.51,0.05,-2.15,0.05,  ---, ---,0,11.8,1.2,7.5,0.01,26,0.5,34,1,341.8202,56.9563
CWNU_242,266.488,0.05,-3.996,0.02,0.46,0.03,-5.02,0.08,5.07,0.09,  ---, ---,0,11.15,1.2,7.8,0.01,38,0.72,38,1,130.0096,-48.243
CWNU_243,103.451,0.07,-4.131,0.11,0.46,0.05,-3.35,0.15,-2.36,0.09,-37.5,0.3,3,11.05,0.7,8.6,0.01,60,0.92,60,1,338.8453,53.5148
CWNU_244,338.712,0.07,0.812,0.05,0.53,0.05,1.03,0.09,-0.56,0.1,-20.8,0.8,2,10.85,1.25,8.2,0.008,72,0.72,72,1,249.6638,-45.6828
CWNU_245,35.674,0.1,1.97,0.07,0.6,0.12,1.71,0.19,-1.29,0.21,31.3,1.7,1,10.5,5,9,0.04,116,0.77,116,1,282.3548,3.338
CWNU_246,240.477,0.11,0.873,0.16,0.55,0.04,-2.52,0.09,1.76,0.1,  ---, ---,0,11.35,0.55,8.2,0.022,33,0.7,33,1,117.0639,-23.8646
CWNU_247,311.846,0.11,-1.654,0.05,0.52,0.02,-5.15,0.12,-2.89,0.05,  ---, ---,0,11.6,1.35,7.5,0.032,26,0.61,34,1,212.9008,-63.1299
CWNU_248,74.932,0.03,1.516,0.05,0.38,0.03,-1.28,0.1,-3.14,0.06,-3.9,0.8,1,11.9,1.8,8.4,0.022,35,0.7,35,1,303.61,37.3999
CWNU_249,328.154,0.16,-1.676,0.12,0.88,0.04,-3.51,0.17,-5.72,0.25,  ---, ---,0,10.2,1.15,8.7,0.02,23,0.5,37,1,240.6535,-54.8982
CWNU_250,211.026,0.17,-6.556,0.12,0.53,0.02,-0.69,0.06,1.94,0.08,34.9,0,3,11.15,0.55,9.2,0.012,32,0.72,32,1,96.1572,-1.2982
CWNU_251,218.879,0.04,-4.038,0.06,0.42,0.04,-0.11,0.06,1.84,0.12,68.3,8.7,2,11.55,0.5,9.2,0.018,40,0.77,40,1,101.9619,-7.1283
CWNU_252,299.32,0.18,1.577,0.13,0.76,0.03,-7.05,0.1,-0.72,0.08,-3.4,6.2,2,11.05,0.95,8,0.034,38,1,38,1,185.3759,-61.0846
CWNU_253,92.9,0.06,3.774,0.06,0.57,0.04,-2.32,0.08,-2.22,0.1,  ---, ---,0,10.65,3.35,7.3,0.018,36,0.7,36,1,316.7397,53.0201
CWNU_254,212.739,0.27,8.192,0.41,2.17,0.04,-6.53,0.14,-5.26,0.25,21.1,3.7,1,8.6,0.35,7.8,0.018,25,0.6,31,1,110.0741,3.8956
CWNU_255,175.863,0.11,2.484,0.16,0.74,0.04,-1.16,0.1,-5.04,0.14,  ---, ---,0,10.25,0.95,8.7,0.004,40,0.71,40,1,86.3664,33.7604
CWNU_256,328.805,0.06,0.18,0.06,0.72,0.04,-3.28,0.07,-3.19,0.05,  ---, ---,0,10.9,2.4,7.5,0.026,45,0.7,45,1,239.4311,-53.0673
CWNU_257,203.07,0.13,-8.964,0.1,0.73,0.08,0.53,0.12,-2.05,0.1,8.8,1.3,1,10.8,1.4,8.7,0.038,85,0.71,85,1,90.3558,4.5611
CWNU_258,263.041,0.28,-13.028,0.47,1.45,0.1,-4.51,0.3,7.76,1.06,  ---, ---,0,9.2,0.65,7.6,0.008,7,0.32,31,1,115.5088,-50.1811
CWNU_259,51.206,0.4,-2.413,0.2,1.17,0.05,-0.97,0.29,-5.52,0.37,  ---, ---,0,9.25,1.25,8.9,0.032,11,0.31,57,1,293.6213,15.0476
CWNU_260,263.157,0.28,-11.687,0.42,1.3,0.12,-4.68,0.17,7.85,0.33,15.5,7,3,9.8,0.4,7.9,0.04,72,0.7,72,1,117.4349,-49.6584
CWNU_261,311.81,0.08,-2.764,0.07,1.09,0.04,-4.46,0.12,-4.32,0.13,  ---, ---,0,9.8,0.75,7.8,0.022,74,0.71,74,1,213.6002,-64.1963
CWNU_262,35.013,0.69,2.536,0.35,1.61,0.06,1.38,0.38,-8.55,0.21,-5.3,11,1,8.6,1.4,6.9,0.034,27,1,27,1,281.5491,3.0073
CWNU_263,211.764,0.05,-0.611,0.06,0.47,0.05,-1.41,0.06,1.27,0.06,  ---, ---,0,11.95,1.3,8.1,0.022,33,0.77,33,1,101.7831,0.7607
CWNU_264,283.008,0.16,-4.591,0.08,0.76,0.04,-9.28,0.12,3.69,0.2,  ---, ---,0,10.2,0.3,7.6,0.01,28,1,28,1,149.2098,-60.5205
CWNU_265,281.515,0.24,1.645,0.1,0.76,0.02,-6.97,0.07,1.83,0.07,  ---, ---,0,11.25,0.6,8.4,0.038,37,1,37,1,153.8055,-54.5974
CWNU_266,209.154,0.04,1.333,0.03,0.24,0.03,-0.48,0.06,-0.15,0.05,  ---, ---,0,12.4,1.45,7.4,0.02,26,0.6,31,1,102.3235,3.9699
CWNU_267,338.626,0.08,-3.46,0.1,0.54,0.02,0.24,0.17,-2.07,0.11,  ---, ---,0,11.15,1.4,8.6,0.038,40,0.7,40,1,254.3805,-48.5038
CWNU_268,247.628,0.04,-1.209,0.06,0.34,0.02,-2.05,0.06,2.83,0.03,67.4,1.9,2,12.05,1.5,9.2,0.01,34,0.71,34,1,119.182,-31.0717
CWNU_269,246.383,0.02,-0.444,0.03,0.34,0.02,-2.05,0.06,1.31,0.06,  ---, ---,0,11.9,1.1,8.9,0.012,24,0.56,30,1,119.1892,-29.6106
CWNU_270,263.27,0.26,-17.68,0.45,1.7,0.08,-4.23,0.27,8.71,1.01,4.6,6.2,2,8.8,0.25,8,0.02,38,0.8,38,1,108.8821,-52.303
CWNU_271,74.526,0.17,-0.193,0.2,0.55,0.04,-2.31,0.17,-4.49,0.14,  ---, ---,0,11.15,2.5,7.4,0.032,108,0.72,108,1,305.0925,36.1058
CWNU_272,118.706,0.03,-3.154,0.03,0.43,0.04,-1.47,0.05,-0.66,0.05,  ---, ---,0,11,1.5,7.4,0.002,32,0.7,32,1,4.5378,59.4444
CWNU_273,210.528,0.47,-14.732,0.33,1.08,0.1,0.08,0.91,-3.66,0.76,22.3,33.5,2,9.6,1.35,9.5,0.002,46,0.84,46,1,88.642,-4.5801
CWNU_274,229.404,0.19,-4.912,0.09,0.77,0.07,-0.94,0.16,-0.05,0.16,  ---, ---,0,11.4,0.8,8.7,0.036,37,0.7,37,1,106.0114,-16.8862
CWNU_275,349.837,0.33,-6.159,0.09,0.8,0.04,2.63,0.12,-2.21,0.16,-38.2,5.9,1,10.65,0.75,7.8,0.038,26,0.62,31,1,266.4179,-40.803
CWNU_276,96.619,0.2,-2.477,0.33,0.58,0.03,-1.53,0.17,-1.23,0.14,-30,8.6,2,11.25,0.9,8.1,0.04,59,1,59,1,328.1145,51.0159
CWNU_277,302.608,0.04,2.305,0.03,0.47,0.02,-4.13,0.07,0.11,0.14,  ---, ---,0,10.9,1.25,7.5,0.002,35,0.86,35,1,192.2009,-60.5651
CWNU_278,305.264,0.05,-1.49,0.05,0.46,0.03,-4.34,0.09,-0.53,0.07,-16.8,2.2,2,11.45,1.05,8.9,0.036,72,0.72,72,1,198.2348,-64.2643
CWNU_279,215.293,0.28,-0.11,0.13,0.53,0.06,-1.42,0.13,1.09,0.14,  ---, ---,0,10.85,0.4,7.8,0.008,55,0.8,55,1,103.8386,-2.1514
CWNU_280,226.553,0.06,1.934,0.06,0.31,0.04,-1.28,0.09,1.48,0.14,  ---, ---,0,12.2,1.5,7.4,0.004,67,0.7,67,1,110.9085,-11.1912
